name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bifidobacterium imperatoris	2020965	S	40	16	56	0.00000
Bifidobacterium actinocoloniiforme	638619	S	34	0	34	0.00000
Bifidobacterium animalis	28025	S	32	1002	1034	0.00001
Gardnerella vaginalis	2702	S	99	4	103	0.00000
Rothia mucilaginosa	43675	S	4957	498	5455	0.00005
Rothia aeria	172042	S	1426	487	1913	0.00002
Rothia dentocariosa	2047	S	170	66	236	0.00000
Rothia kristinae	37923	S	20	13	33	0.00000
Rothia nasimurium	85336	S	19	3	22	0.00000
Arthrobacter sp. D5-1	1477518	S	23	129	152	0.00000
Arthrobacter sp. NtRootA1	2830983	S	19	45	64	0.00000
Arthrobacter sp. PAMC25284	2861279	S	12	8	20	0.00000
Arthrobacter crystallopoietes	37928	S	31	9	40	0.00000
Arthrobacter dokdonellae	2211210	S	16	3	19	0.00000
Arthrobacter agilis	37921	S	14	3	17	0.00000
Kocuria sp. BT304	1702043	S	116	75	191	0.00000
Kocuria varians	1272	S	29	9	38	0.00000
Kocuria turfanensis	388357	S	10	1	11	0.00000
Auritidibacter sp. NML130574	2170745	S	72	3	75	0.00000
Citricoccus sp. SGAir0253	2567881	S	29	4	33	0.00000
Citricoccus sp. NR2	3004095	S	26	12	38	0.00000
Pseudarthrobacter sp. NIBRBAC000502771	2590774	S	15	61	76	0.00000
Pseudarthrobacter sp. NIBRBAC000502772	2590775	S	11	11	22	0.00000
Micrococcus sp. KD337-16	2856555	S	19	16	35	0.00000
Microbacterium sp. CBA3102	2603598	S	367	217	584	0.00001
Microbacterium sp. No. 7	1714373	S	195	92	287	0.00000
Microbacterium sp. MPKO10	2989818	S	182	11	193	0.00000
Microbacterium sp. CGR1	1696072	S	110	53	163	0.00000
Microbacterium sp. H1-D42	2925844	S	106	9	115	0.00000
Microbacterium sp. A18JL241	2782166	S	67	8	75	0.00000
Microbacterium sp. Nx66	2766784	S	53	22	75	0.00000
Microbacterium sp. XT11	367477	S	40	5	45	0.00000
Microbacterium sp. JZ31	1906274	S	24	3	27	0.00000
Microbacterium sp. Clip185	3025663	S	22	3	25	0.00000
Microbacterium sp. NIBRBAC000506063	2734618	S	15	7	22	0.00000
Microbacterium sp. SSW1-36	2851648	S	11	1	12	0.00000
Microbacterium foliorum	104336	S	176	32	208	0.00000
Microbacterium resistens	156977	S	24	2	26	0.00000
Microbacterium chengjingii	2769067	S	24	0	24	0.00000
Microbacterium oleivorans	273677	S	23	2	25	0.00000
Microbacterium amylolyticum	936337	S	15	2	17	0.00000
Microbacterium protaetiae	2509458	S	14	3	17	0.00000
Microbacterium esteraromaticum	57043	S	11	1	12	0.00000
Cryobacterium soli	2220095	S	187	19	206	0.00000
Cryobacterium sp. SO1	1897061	S	44	3	47	0.00000
Cryobacterium sp. LW097	1978566	S	15	1	16	0.00000
Leucobacter sp. H21R-40	2932247	S	74	13	87	0.00000
Leucobacter sp. NB 10	2873270	S	19	1	20	0.00000
