name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Mycolicibacterium pulveris	36813	S	17	0	17	0.00000
Mycolicibacterium arabiense	1286181	S	14	0	14	0.00000
Mycolicibacterium gadium	1794	S	11	0	11	0.00000
Mycobacteroides abscessus	36809	S	78	4	82	0.00000
Nocardia arthritidis	228602	S	52	2	54	0.00000
Nocardia brasiliensis	37326	S	11	0	11	0.00000
Rhodococcus pyridinivorans	103816	S	40	29	69	0.00000
Rhodococcus opacus	37919	S	11	0	11	0.00000
Gordonia sp. SL306	2995145	S	10	1	11	0.00000
Streptomyces sp. HNA39	2850561	S	31	28	59	0.00000
Streptomyces sp. S1A1-7	2594459	S	21	95	116	0.00000
Streptomyces sp. S063	2005885	S	17	7	24	0.00000
Streptomyces sp. M92	2944250	S	15	2	17	0.00000
Streptomyces sp. HU2014	2939414	S	12	57	69	0.00000
Streptomyces sp. T12	477697	S	10	1	11	0.00000
Streptomyces griseorubiginosus	67304	S	68	8	76	0.00000
Streptomyces fagopyri	2662397	S	63	8	71	0.00000
Streptomyces tubercidicus	47759	S	46	10	56	0.00000
Streptomyces durmitorensis	319947	S	42	2	44	0.00000
Streptomyces albus	1888	S	38	70	108	0.00000
Streptomyces hygroscopicus	1912	S	21	25	46	0.00000
Streptomyces harbinensis	1176198	S	14	0	14	0.00000
Streptomyces venezuelae	54571	S	13	2	15	0.00000
Streptomyces rutgersensis	53451	S	12	2	14	0.00000
Streptomyces liliifuscus	2797636	S	10	0	10	0.00000
Streptomyces tirandamycinicus	2174846	S	10	0	10	0.00000
Amycolatopsis sp. YIM 10	2653857	S	64	0	64	0.00000
Amycolatopsis mediterranei	33910	S	12	0	12	0.00000
Saccharothrix sp. 6-C	2781735	S	57	0	57	0.00000
Saccharopolyspora gloriosae	455344	S	16	0	16	0.00000
Pseudonocardia autotrophica	2074	S	11	0	11	0.00000
Micromonospora coriariae	285665	S	61	5	66	0.00000
Micromonospora chokoriensis	356851	S	33	2	35	0.00000
Micromonospora sp. WMMA2032	2039870	S	16	2	18	0.00000
Plantactinospora sp. BC1	2108470	S	16	0	16	0.00000
