name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Kosakonia arachidis	551989	S	16	3	19	0.00000
Kosakonia pseudosacchari	1646340	S	16	13	29	0.00000
Kosakonia oryzae	497725	S	13	17	30	0.00000
Leclercia adecarboxylata	83655	S	136	54	190	0.00001
Leclercia sp. 29361	2714951	S	74	12	86	0.00001
Leclercia pneumoniae	2815358	S	90	4	94	0.00001
Kluyvera ascorbata	51288	S	105	24	129	0.00001
Kluyvera intermedia	61648	S	41	2	43	0.00000
[Enterobacter] lignolyticus	1334193	S	114	4	118	0.00001
Pluralibacter gergoviae	61647	S	29	1	30	0.00000
Buttiauxella sp. WJP83	2986951	S	96	13	109	0.00001
Buttiauxella agrestis	82977	S	23	4	27	0.00000
Yokenella regensburgei	158877	S	130	6	136	0.00001
Lelliottia amnigena	61646	S	81	4	85	0.00001
Lelliottia sp. WB101	2153385	S	11	26	37	0.00000
Jejubacter calystegiae	2579935	S	123	0	123	0.00001
Cronobacter sakazakii	28141	S	27	18	45	0.00000
Cronobacter dublinensis	413497	S	15	1	16	0.00000
Cronobacter condimenti	1163710	S	13	1	14	0.00000
Cronobacter malonaticus	413503	S	11	11	22	0.00000
Siccibacter colletis	1505757	S	95	1	96	0.00001
Cedecea neteri	158822	S	47	8	55	0.00000
Cedecea sp. FDAARGOS_727	2545798	S	18	2	20	0.00000
Cedecea lapagei	158823	S	12	3	15	0.00000
Pseudocitrobacter corydidari	2891570	S	47	2	49	0.00000
Scandinavium goeteborgense	1851514	S	38	0	38	0.00000
Phytobacter ursingii	1972431	S	37	5	42	0.00000
Atlantibacter hermannii	565	S	20	0	20	0.00000
Shimwellia blattae	563	S	18	0	18	0.00000
Pseudescherichia vulneris	566	S	17	0	17	0.00000
Erwinia tracheiphila	65700	S	10	2	12	0.00000
Providencia rettgeri	587	S	13	1	14	0.00000
Pseudomonas aeruginosa	287	S	543	514	1057	0.00007
Pseudomonas sp. OE 28.3	2745519	S	370	107	477	0.00003
Pseudomonas fluorescens	294	S	66	13	79	0.00001
Pseudomonas chlororaphis	587753	S	36	3	39	0.00000
Pseudomonas syringae	317	S	27	3	30	0.00000
Marinobacter nauticus	2743	S	33	0	33	0.00000
Lysobacter enzymogenes	69	S	643	21	664	0.00004
Lysobacter sp. 5GHs7-4	2904253	S	64	0	64	0.00000
Xanthomonas euroxanthea	2259622	S	70	1	71	0.00000
Stenotrophomonas maltophilia	40324	S	43	2	45	0.00000
Luteimonas granuli	1176533	S	17	0	17	0.00000
Rhodanobacter denitrificans	666685	S	37	0	37	0.00000
Aeromonas media	651	S	27	7	34	0.00000
Aeromonas veronii	654	S	23	14	37	0.00000
Halomonas sp. DN3	2953657	S	37	0	37	0.00000
Halomonas sp. YLGW01	2773308	S	15	0	15	0.00000
Kushneria phosphatilytica	657387	S	13	0	13	0.00000
Caldichromatium japonicum	2699430	S	46	0	46	0.00000
Thioflavicoccus mobilis	80679	S	20	0	20	0.00000
Cereibacter sphaeroides	1063	S	1573733	18788	1592521	0.10732
Cereibacter azotoformans	43057	S	6215	573	6788	0.00046
Rhodobacter sp. CZR27	2033869	S	1754	15	1769	0.00012
Rhodobacter sp. LPB0142	1850250	S	96	4	100	0.00001
Rhodobacter capsulatus	1061	S	465	1	466	0.00003
Paracoccus jeotgali	2065379	S	388	19	407	0.00003
Paracoccus sp. MC1862	2760307	S	52	6	58	0.00000
Paracoccus sp. SCSIO 75817	3017781	S	40	58	98	0.00001
Paracoccus sp. SCSIO 75233	3017782	S	36	39	75	0.00001
Paracoccus kondratievae	135740	S	146	27	173	0.00001
Paracoccus zhejiangensis	1077935	S	112	12	124	0.00001
Paracoccus yeei	147645	S	86	112	198	0.00001
Paracoccus pantotrophus	82367	S	72	25	97	0.00001
Paracoccus alcaliphilus	34002	S	32	4	36	0.00000
Paracoccus liaowanqingii	2560053	S	29	0	29	0.00000
Paracoccus saliphilus	405559	S	25	0	25	0.00000
Paracoccus contaminans	1945662	S	25	2	27	0.00000
Paracoccus sanguinis	1545044	S	23	2	25	0.00000
Paracoccus aestuarii	453842	S	22	0	22	0.00000
Paracoccus fistulariae	658446	S	17	2	19	0.00000
Paracoccus marcusii	59779	S	15	12	27	0.00000
Paracoccus aminovorans	34004	S	14	1	15	0.00000
Paracoccus stylophorae	659350	S	13	1	14	0.00000
Paracoccus denitrificans	266	S	12	3	15	0.00000
Paracoccus aminophilus	34003	S	11	0	11	0.00000
Rhodovulum sulfidophilum	35806	S	194	17	211	0.00001
Rhodovulum sp. P5	1564506	S	38	0	38	0.00000
Rhodovulum sp. MB263	308754	S	20	2	22	0.00000
Tabrizicola piscis	2494374	S	199	0	199	0.00001
Roseicitreum antarcticum	564137	S	179	0	179	0.00001
Fuscovulum blasticum	1075	S	134	0	134	0.00001
Pukyongiella litopenaei	2605946	S	116	3	119	0.00001
Haematobacter massiliensis	195105	S	90	5	95	0.00001
Gemmobacter aquarius	2169400	S	64	0	64	0.00000
Gemmobacter fulva	2840474	S	21	0	21	0.00000
Pontivivens ytuae	2789856	S	79	0	79	0.00001
Neotabrizicola shimadae	2807096	S	45	0	45	0.00000
Pseudopuniceibacterium antarcticum	2613965	S	30	0	30	0.00000
Frigidibacter mobilis	1335048	S	12	0	12	0.00000
Phaeobacter inhibens	221822	S	470	56	526	0.00004
Sulfitobacter pontiacus	60137	S	39	11	50	0.00000
Sulfitobacter sp. BSw21498	664426	S	12	2	14	0.00000
Mameliella alba	561184	S	77	6	83	0.00001
Ponticoccus alexandrii	1943633	S	75	2	77	0.00001
Roseovarius sp. SCSIO 43702	2823043	S	39	28	67	0.00000
Leisingera sp. NJS201	2508306	S	33	30	63	0.00000
Ketogulonicigenium vulgare	92945	S	38	0	38	0.00000
Dinoroseobacter shibae	215813	S	33	7	40	0.00000
Salipiger profundus	1229727	S	17	4	21	0.00000
Roseivivax marinus	1379903	S	11	0	11	0.00000
Tateyamaria omphalii	299262	S	17	0	17	0.00000
Actibacterium sp. EMB200-NS6	1609966	S	10	2	12	0.00000
Pseudorhizobium flavum	1335061	S	1003	20	1023	0.00007
Agrobacterium larrymoorei	160699	S	224	3	227	0.00002
Agrobacterium fabacearum	1183401	S	85	70	155	0.00001
Agrobacterium tumefaciens	358	S	76	5	81	0.00001
Rhizobium sp. IE4771	1301032	S	47	8	55	0.00000
Rhizobium leguminosarum	384	S	33	1	34	0.00000
Shinella sp. PSBB067	2715959	S	42	2	44	0.00000
Shinella sp. HZN7	879274	S	21	1	22	0.00000
Pannonibacter phragmitetus	121719	S	376	69	445	0.00003
Roseibium sp. Sym1	3016006	S	18	0	18	0.00000
Bradyrhizobium barranii	2992140	S	62	115	177	0.00001
Bradyrhizobium diazoefficiens	1355477	S	10	14	24	0.00000
Rhodopseudomonas palustris	1076	S	58	4	62	0.00000
Methylobacterium durans	2202825	S	88	1	89	0.00001
Methylobacterium sp. 4-46	426117	S	61	0	61	0.00000
Methylobacterium indicum	1775910	S	16	2	18	0.00000
Methylorubrum extorquens	408	S	18	0	18	0.00000
Methylorubrum populi	223967	S	10	0	10	0.00000
Mesorhizobium loti	381	S	72	7	79	0.00001
Mesorhizobium sp. 131-2-1	2744518	S	23	1	24	0.00000
Brucella anthropi	529	S	24	59	83	0.00001
Aquabacter sp. L1I39	2820278	S	25	0	25	0.00000
Labrys sp. KNU-23	2789216	S	14	0	14	0.00000
Aureimonas mangrovi	2758041	S	39	0	39	0.00000
Pelagibacterium sp. YIM 151497	2984530	S	34	1	35	0.00000
Bosea sp. F3-2	2599640	S	17	0	17	0.00000
Bosea sp. NBC_00436	2969620	S	11	0	11	0.00000
Blastochloris tepida	2233851	S	32	0	32	0.00000
Chelatococcus daeguensis	444444	S	30	0	30	0.00000
Acetobacter pomorum	65959	S	570	24	594	0.00004
Roseomonas mucosa	207340	S	79	10	89	0.00001
Lichenicola cladoniae	1484109	S	62	0	62	0.00000
Acidiphilium multivorum	62140	S	59	2	61	0.00000
Niveispirillum cyanobacteriorum	1612173	S	130	11	141	0.00001
Tistrella mobilis	171437	S	75	2	77	0.00001
Defluviicoccus vanus	111831	S	54	2	56	0.00000
Sphingopyxis sp. 113P3	292913	S	82	9	91	0.00001
Sphingopyxis macrogoltabida	33050	S	56	6	62	0.00000
Sphingomonas paeninsulae	2319844	S	11	1	12	0.00000
Rhizorhabdus dicambivorans	1850238	S	19	5	24	0.00000
Qipengyuania aurantiaca	2867233	S	37	0	37	0.00000
Erythrobacter neustonensis	1112	S	25	0	25	0.00000
Brevundimonas naejangsanensis	588932	S	50	0	50	0.00000
Phenylobacterium parvum	2201350	S	47	0	47	0.00000
Asticcacaulis sp. AND118	2840468	S	11	0	11	0.00000
Marinicauda algicola	2029849	S	84	1	85	0.00001
Burkholderia pseudomallei	28450	S	101	11	112	0.00001
Burkholderia diffusa	488732	S	10	7	17	0.00000
Paraburkholderia caribensis	75105	S	93	0	93	0.00001
Cupriavidus taiwanensis	164546	S	44	22	66	0.00000
Alcaligenes faecalis	511	S	238	11	249	0.00002
Acidovorax sp. NCPPB 2350	2940487	S	56	18	74	0.00000
Diaphorobacter sp. ED-3	3016636	S	47	84	131	0.00001
Rubrivivax gelatinosus	28068	S	32	0	32	0.00000
Sphaerotilus sp. FB-5	2914710	S	11	0	11	0.00000
Thauera aromatica	59405	S	13	1	14	0.00000
Azospira restricta	404405	S	10	0	10	0.00000
Laribacter hongkongensis	168471	S	18	0	18	0.00000
Anaeromyxobacter oryzae	2918170	S	51	1	52	0.00000
Corallococcus sp. NCRR	2996782	S	32	0	32	0.00000
Pseudodesulfovibrio tunisiensis	463192	S	61	0	61	0.00000
Desulfovibrio vulgaris	881	S	13	0	13	0.00000
